Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	65.975758963	66.197083791	66.489	315.457	0.2213	248.968	-89.38	rupe A
2	Spectrogram 1	1	360.604978438	361.116393963	53.191	359.043	0.5114	305.852	-92.46	Rupe B
3	Spectrogram 1	1	362.511531278	362.835272285	53.191	384.858	0.3237	331.667	-92.47	Rupe B
4	Spectrogram 1	1	363.582147388	363.883517251	66.489	239.748	0.3014	173.259	-93.42	Rupe B
5	Spectrogram 1	1	364.878951041	365.235115424	53.191	296.530	0.3562	243.339	-93.38	Rupe B
6	Spectrogram 1	1	546.738623985	547.186112569	79.787	345.745	0.4475	265.958	-92.12	Rupe B
7	Spectrogram 1	1	600.809344207	601.229435531	53.191	292.553	0.4201	239.362	-91.60	rupe B
8	Spectrogram 1	1	674.180580381	674.299132249	93.085	538.721	0.1186	445.636	-94.57	rupe A
9	Spectrogram 1	1	677.028237055	677.205844969	45.741	220.820	0.1776	175.079	-86.08	rupe A
10	Spectrogram 1	1	679.646238076	679.913310781	64.103	370.370	0.2671	306.267	-87.65	rupe B
11	Spectrogram 1	1	675.087632617	675.208451222	53.872	404.040	0.1208	350.168	-92.58	rupe A
12	Spectrogram 1	1	675.952439472	676.047822581	60.606	471.380	0.0954	410.774	-92.01	rupe A
13	Spectrogram 1	1	674.559846081	674.699741307	80.808	424.242	0.1399	343.434	-95.78	rupe A
14	Spectrogram 1	1	678.190758882	678.502343704	67.340	316.498	0.3116	249.158	-87.40	rupe B
15	Spectrogram 1	1	680.085000377	680.148589116	80.808	350.168	0.0636	269.360	-86.50	rupe A
16	Spectrogram 1	1	680.924371736	681.235956558	67.340	289.562	0.3116	222.222	-84.77	rupe B
17	Spectrogram 1	1	677.394786411	677.680935738	67.340	309.764	0.2861	242.424	-88.63	rupe B
