Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	70.997904251	71.171420232	93.085	305.851	0.1735	212.766	-85.95	Rupe A
2	Spectrogram 1	1	72.413429365	72.509319776	55.718	288.718	0.0959	233.000	-84.50	Rupe A
3	Spectrogram 1	1	74.093787631	74.221641513	55.718	253.262	0.1279	197.544	-84.91	Rupe A
4	Spectrogram 1	1	74.787851558	75.007029640	60.783	207.675	0.2192	146.892	-84.20	Rupe A
5	Spectrogram 1	1	75.586938316	75.728490828	45.587	248.197	0.1416	202.610	-80.98	Rupe A
6	Spectrogram 1	1	76.463650645	76.609769367	50.652	293.784	0.1461	243.132	-84.79	Rupe A
7	Spectrogram 1	1	76.806116398	77.112052472	65.848	303.914	0.3059	238.066	-86.17	Rupe A
8	Spectrogram 1	1	77.596066036	77.933965579	65.848	303.914	0.3379	238.066	-86.04	Rupe B
9	Spectrogram 1	1	78.678257817	79.002458730	60.783	253.262	0.3242	192.479	-84.98	Rupe B
10	Spectrogram 1	1	79.659991503	79.920265476	75.979	344.436	0.2603	268.457	-86.06	Rupe A
11	Spectrogram 1	1	80.280996069	80.742183284	65.848	324.175	0.4612	258.327	-85.73	Rupe B
12	Spectrogram 1	1	81.449945841	81.605196983	50.652	319.110	0.1553	268.458	-83.86	Rupe A
13	Spectrogram 1	1	81.970493786	82.034420727	60.783	227.936	0.0639	167.153	-83.47	Rupe A
14	Spectrogram 1	1	83.157706188	83.290126279	81.044	283.653	0.1324	202.609	-82.92	Rupe A
15	Spectrogram 1	1	84.445376500	84.518435861	70.913	243.131	0.0731	172.218	-84.34	Rupe A
16	Spectrogram 1	1	86.472773760	86.669120792	70.913	273.523	0.1963	202.610	-82.87	Rupe A
17	Spectrogram 1	1	87.043547920	87.112041071	81.044	268.457	0.0685	187.413	-83.89	Rupe A
18	Spectrogram 1	1	87.395146093	87.637155226	55.718	364.697	0.2420	308.979	-84.32	Rupe B
19	Spectrogram 1	1	88.194232851	88.459073034	65.848	384.958	0.2648	319.110	-84.49	Rupe B
20	Spectrogram 1	1	88.851767098	89.180534221	55.718	354.566	0.3288	298.848	-85.98	Rupe B
21	Spectrogram 1	1	91.848590753	92.131695776	45.587	471.067	0.2831	425.480	-84.33	Rupe A
22	Spectrogram 1	1	93.684203136	93.848586697	45.587	339.371	0.1644	293.784	-81.21	Rupe A
23	Spectrogram 1	1	94.692270182	94.879540471	57.307	272.206	0.1873	214.899	-85.45	Rupe A
24	Spectrogram 1	1	96.752243683	97.004089934	57.307	322.350	0.2518	265.043	-84.22	Rupe A
25	Spectrogram 1	1	98.805759267	99.141554268	35.817	322.350	0.3358	286.533	-82.29	Rupe B
26	Spectrogram 1	1	101.085291943	101.614814829	50.143	293.696	0.5295	243.553	-85.95	Rupe C
27	Spectrogram 1	1	103.132350756	103.229214698	57.307	207.736	0.0969	150.429	-83.80	Rupe A
28	Spectrogram 1	1	103.965380662	104.236599702	57.307	186.246	0.2712	128.939	-85.11	Rupe A
29	Spectrogram 1	1	105.160035955	105.599152495	64.470	300.860	0.4391	236.390	-84.14	Rupe B
30	Spectrogram 1	1	106.826095768	106.955247691	71.633	279.370	0.1292	207.737	-83.64	Rupe A
31	Spectrogram 1	1	112.373172808	112.482951943	42.980	293.696	0.1098	250.716	-81.74	Rupe A
