Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	102.456055837	102.839617481	65.282	372.340	0.3836	307.058	-84.48	Rupe A
2	Spectrogram 1	1	103.214046705	103.652402869	66.489	332.447	0.4384	265.958	-87.30	Rupe B
3	Spectrogram 1	1	105.268841225	105.771124330	53.191	292.553	0.5023	239.362	-86.20	Rupe B
4	Spectrogram 1	1	142.629533443	142.899317615	66.489	243.323	0.2698	176.834	-85.04	Rupe B
5	Spectrogram 1	1	195.611852268	195.894957291	53.191	345.745	0.2831	292.554	-84.78	Rupe A
6	Spectrogram 1	1	197.027377383	197.429203867	66.489	359.043	0.4018	292.554	-85.70	Rupe B
7	Spectrogram 1	1	203.450924460	203.770559163	79.787	385.638	0.3196	305.851	-88.69	Rupe A
8	Spectrogram 1	1	263.929460733	264.139506395	79.787	323.442	0.2100	243.655	-87.89	Rupe A
9	Spectrogram 1	1	282.830585063	283.259808807	79.787	332.447	0.4292	252.660	-86.94	Rupe B
10	Spectrogram 1	1	284.109123876	284.401361319	53.191	292.553	0.2922	239.362	-86.69	Rupe B
11	Spectrogram 1	1	286.291772278	286.401361319	93.085	385.638	0.1096	292.553	-88.30	Rupe A
12	Spectrogram 1	1	347.344922732	347.628027754	66.489	252.660	0.2831	186.171	-86.67	Rupe A
13	Spectrogram 1	1	348.038986659	348.294694421	66.489	297.674	0.2557	231.185	-88.59	Rupe A
14	Spectrogram 1	1	431.000274799	431.255982561	79.787	252.660	0.2557	172.873	-84.68	Rupe B
15	Spectrogram 1	1	432.013973429	432.315343292	66.489	319.149	0.3014	252.660	-79.52	Rupe B
16	Spectrogram 1	1	433.995708589	434.287946032	93.085	252.660	0.2922	159.575	-82.08	Rupe B
17	Spectrogram 1	1	620.560562068	620.962388552	66.489	319.149	0.4018	252.660	-82.48	Rupe B
18	Spectrogram 1	1	704.192755003	704.614480636	53.191	305.851	0.4217	252.660	-85.92	Rupe B
19	Spectrogram 1	1	705.662142507	705.781796099	53.191	292.553	0.1197	239.362	-86.62	Rupe A
20	Spectrogram 1	1	709.434773649	709.653951731	66.489	385.638	0.2192	319.149	-84.19	Rupe A
21	Spectrogram 1	1	711.042079585	711.270390087	106.383	279.255	0.2283	172.872	-88.19	Rupe A
22	Spectrogram 1	1	711.626557886	711.854868388	66.489	279.255	0.2283	212.766	-86.41	Rupe A
23	Spectrogram 1	1	714.375416333	714.585461995	106.383	319.149	0.2100	212.766	-88.94	Rupe A
