Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	558.255101862	559.360950060	115.607	369.942	1.1058	254.335	-84.53	Moan
2	Spectrogram 1	1	560.524188927	561.020111968	119.681	319.149	0.4959	199.468	-85.63	Moan
3	Spectrogram 1	1	562.533321347	563.052614769	146.277	381.503	0.5193	235.226	-86.25	Moan
4	Spectrogram 1	1	564.450996063	565.154325913	161.850	421.965	0.7033	260.116	-87.09	Moan
5	Spectrogram 1	1	566.279761215	566.967710856	277.457	473.988	0.6879	196.532	-88.99	Moan
6	Spectrogram 1	1	568.206862746	568.743982553	144.509	352.601	0.5371	208.092	-88.41	Moan
7	Spectrogram 1	1	570.050867182	570.707342002	167.630	398.844	0.6565	231.214	-90.56	Moan
8	Spectrogram 1	1	572.072284105	572.519772690	199.468	398.844	0.4475	199.376	-91.92	Moan
9	Spectrogram 1	1	573.800851659	574.183045904	236.994	425.532	0.3822	188.538	-90.53	Moan
10	Spectrogram 1	1	575.509484753	576.026571084	150.289	410.405	0.5171	260.116	-89.80	Moan
11	Spectrogram 1	1	577.633068919	578.186167536	239.362	438.830	0.5531	199.468	-92.57	Moan
12	Spectrogram 1	1	579.239479773	579.629503466	202.312	505.319	0.3900	303.007	-86.82	Moan
13	Spectrogram 1	1	580.729450872	581.358201234	121.387	452.128	0.6288	330.741	-88.46	Moan
14	Spectrogram 1	1	582.499753746	583.027102106	172.872	465.426	0.5273	292.554	-89.03	Moan
15	Spectrogram 1	1	706.173898550	706.511798093	79.787	466.887	0.3379	387.100	-86.16	Rupe B
16	Spectrogram 1	1	707.132802660	707.397642842	93.085	398.936	0.2648	305.851	-90.05	Rupe B
17	Spectrogram 1	1	708.867962477	709.114537820	53.191	417.219	0.2466	364.028	-87.40	Type 4 A
18	Spectrogram 1	1	584.117848970	584.821045318	115.607	473.988	0.7032	358.382	-91.72	Moan
19	Spectrogram 1	1	586.024008879	586.489762304	144.509	465.426	0.4658	320.917	-92.00	Moan
20	Spectrogram 1	1	589.950054436	590.461469962	144.509	323.699	0.5114	179.191	-88.58	Moan
21	Spectrogram 1	1	591.630419733	592.149193820	150.289	306.358	0.5188	156.069	-87.59	Moan
22	Spectrogram 1	1	593.583537835	593.986584117	146.277	317.919	0.4030	171.642	-90.75	Moan
23	Spectrogram 1	1	705.762808867	705.839247716	76.159	288.079	0.0764	211.920	-90.29	Rupe A
24	Spectrogram 1	1	558.560590348	559.059691068	156.069	277.457	0.4991	121.387	-81.33	Moan
25	Spectrogram 1	1	568.067469776	568.211354669	352.601	508.671	0.1439	156.069	-91.04	Moan
26	Spectrogram 1	1	566.360696467	567.008178481	144.509	329.480	0.6475	184.971	-85.36	Moan
27	Spectrogram 1	1	595.404621161	595.953182312	127.168	531.792	0.5486	404.624	-91.75	Moan
28	Spectrogram 1	1	597.207678715	597.693290225	121.387	375.723	0.4856	254.335	-91.11	Moan
29	Spectrogram 1	1	601.299412716	601.609664514	167.630	306.358	0.3103	138.728	-91.01	Moan
30	Spectrogram 1	1	604.710742467	605.182864770	156.069	289.017	0.4721	132.948	-91.76	Moan
31	Spectrogram 1	1	622.309740706	622.754884591	173.410	312.139	0.4451	138.728	-90.72	Moan
32	Spectrogram 1	1	624.004884591	624.459021282	161.850	335.260	0.4541	173.410	-89.75	Moan
33	Spectrogram 1	1	625.857394718	626.307035006	156.069	346.821	0.4496	190.751	-88.98	Moan
34	Spectrogram 1	1	627.979691600	628.312425413	156.069	312.139	0.3327	156.069	-88.54	Moan
35	Spectrogram 1	1	629.769259946	630.205411025	161.850	335.260	0.4362	173.410	-90.32	Moan
36	Spectrogram 1	1	631.495871185	632.215295645	156.069	346.821	0.7194	190.751	-89.21	Moan
37	Spectrogram 1	1	633.258457184	633.950903227	144.509	335.260	0.6924	190.751	-88.74	Moan
38	Spectrogram 1	1	637.339816302	637.699528532	173.410	335.260	0.3597	161.850	-89.74	Moan
39	Spectrogram 1	1	639.048445466	639.421646905	144.509	341.040	0.3732	196.532	-90.29	Moan
40	Spectrogram 1	1	640.689632517	641.364092948	184.971	335.260	0.6745	150.289	-90.48	Moan
41	Spectrogram 1	1	642.886856563	643.260058002	156.069	312.139	0.3732	156.069	-91.96	Moan
42	Spectrogram 1	1	646.178220129	646.821205741	173.410	364.162	0.6430	190.751	-90.99	Moan
43	Spectrogram 1	1	644.474083439	645.058615813	150.289	341.040	0.5845	190.751	-91.16	Moan
44	Spectrogram 1	1	648.002243326	648.586775700	173.410	387.283	0.5845	213.873	-91.84	Moan
45	Spectrogram 1	1	649.638930634	650.182995382	156.069	323.699	0.5441	167.630	-89.86	Moan
46	Spectrogram 1	1	650.839466862	651.068783409	138.728	277.457	0.2293	138.728	-88.35	Moan
47	Spectrogram 1	1	651.410510028	652.255833769	196.532	416.185	0.8453	219.653	-91.08	Moan
48	Spectrogram 1	1	653.213562670	653.811584253	161.850	364.162	0.5980	202.312	-89.77	Moan
49	Spectrogram 1	1	654.310682025	654.674890658	173.410	300.578	0.3642	127.168	-89.58	Moan
50	Spectrogram 1	1	655.012120874	655.709063320	150.289	352.601	0.6969	202.312	-89.59	Moan
51	Spectrogram 1	1	656.666792418	657.206360763	161.850	346.821	0.5396	184.971	-90.09	Moan
