Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	594.807366907	595.639624604	201.954	351.792	0.8323	149.837	-88.99	Moan
2	Spectrogram 1	1	1031.477369308	1031.888790172	215.625	384.615	0.4114	168.990	-100.32	Moan
3	Spectrogram 1	1	1120.939184829	1121.281599033	327.635	441.595	0.3424	113.960	-90.09	Moan
4	Spectrogram 1	1	570.909800364	571.696670867	188.925	351.792	0.7869	162.866	-98.33	Moan
5	Spectrogram 1	1	628.955307065	629.530846633	175.896	319.149	0.5755	143.253	-97.39	Moan
6	Spectrogram 1	1	969.439098972	969.947192497	178.125	325.000	0.5081	146.875	-97.12	Moan
7	Spectrogram 1	1	655.623425765	655.992130801	199.468	332.248	0.3687	132.780	-98.39	Moan
8	Spectrogram 1	1	616.982124486	617.539300829	169.381	332.447	0.5572	163.066	-97.37	Moan
9	Spectrogram 1	1	454.181987677	454.889120834	156.352	351.792	0.7071	195.440	-93.31	Moan
10	Spectrogram 1	1	659.347330204	659.536186571	212.766	359.043	0.1889	146.277	-94.42	Moan
11	Spectrogram 1	1	665.548615193	665.890341811	186.170	319.218	0.3417	133.048	-97.79	Moan
12	Spectrogram 1	1	784.419341930	784.711608117	208.469	332.447	0.2923	123.978	-94.83	Moan
13	Spectrogram 1	1	681.375332301	681.774506113	182.410	345.745	0.3992	163.335	-97.33	Moan
14	Spectrogram 1	1	663.750046834	663.986861492	199.468	306.189	0.2368	106.721	-99.48	Moan
15	Spectrogram 1	1	525.740996299	526.280564644	201.954	397.394	0.5396	195.440	-93.82	Moan
16	Spectrogram 1	1	489.186042648	489.604208116	182.410	299.674	0.4182	117.264	-96.07	Moan
17	Spectrogram 1	1	487.508884375	487.706726102	182.410	325.733	0.1978	143.322	-99.10	Moan
18	Spectrogram 1	1	599.120821839	599.377116803	182.410	319.149	0.2563	136.739	-98.14	Moan
19	Spectrogram 1	1	884.612430102	884.974390534	218.241	749.186	0.3620	530.945	-97.53	Moan
20	Spectrogram 1	1	648.949502278	649.585002097	212.766	345.745	0.6355	132.979	-94.41	Moan
21	Spectrogram 1	1	443.314666524	443.904892881	162.866	351.792	0.5902	188.925	-97.31	Moan
22	Spectrogram 1	1	941.392219174	941.831930419	165.625	321.875	0.4397	156.250	-96.67	Moan
23	Spectrogram 1	1	416.276983246	416.826662100	169.381	332.248	0.5497	162.866	-91.20	Moan
24	Spectrogram 1	1	691.514493504	692.085536670	188.925	364.821	0.5710	175.896	-96.94	Moan
25	Spectrogram 1	1	653.640512096	653.868124527	212.766	305.851	0.2276	93.085	-98.24	Moan
26	Spectrogram 1	1	512.136316095	512.684988116	175.896	345.277	0.5487	169.381	-96.88	Moan
27	Spectrogram 1	1	444.093741802	444.224137485	188.925	359.043	0.1304	170.118	-96.65	Moan
28	Spectrogram 1	1	467.647647150	468.497467294	149.837	358.306	0.8498	208.469	-96.13	Moan
29	Spectrogram 1	1	523.986549925	524.666734544	182.410	385.638	0.6802	203.228	-97.30	Moan
30	Spectrogram 1	1	699.590037916	699.987969571	159.574	279.255	0.3979	119.681	-98.24	Moan
31	Spectrogram 1	1	412.424745573	412.986795933	201.954	325.733	0.5621	123.779	-93.77	Moan
32	Spectrogram 1	1	569.311327033	569.459708328	175.896	312.704	0.1484	136.808	-97.93	Moan
33	Spectrogram 1	1	821.366737590	821.895064928	178.125	299.145	0.5283	121.020	-98.51	Moan
34	Spectrogram 1	1	695.078063934	695.473747387	221.498	413.681	0.3957	192.182	-87.29	Moan
35	Spectrogram 1	1	637.525882603	638.178600155	169.381	412.234	0.6527	242.853	-95.47	Moan
36	Spectrogram 1	1	576.355911894	577.639608421	188.925	358.306	1.2837	169.381	-100.97	Moan
37	Spectrogram 1	1	696.759002060	697.034804021	178.125	368.750	0.2758	190.625	-100.66	Moan
38	Spectrogram 1	1	519.671294090	520.018326054	175.896	292.553	0.3470	116.657	-99.86	Moan
39	Spectrogram 1	1	441.616217064	442.310100314	188.925	390.879	0.6939	201.954	-99.63	Moan
40	Spectrogram 1	1	983.277911242	983.881238170	192.182	390.879	0.6033	198.697	-98.92	Moan
41	Spectrogram 1	1	507.662145914	508.151806240	106.383	325.733	0.4897	219.350	-94.69	Moan
42	Spectrogram 1	1	682.973307112	683.634278335	208.469	384.365	0.6610	175.896	-97.47	Moan
43	Spectrogram 1	1	1108.609152784	1109.171195958	187.500	413.105	0.5620	225.605	-100.62	Moan
44	Spectrogram 1	1	641.304200711	641.612399357	199.468	319.218	0.3082	119.750	-98.54	Moan
45	Spectrogram 1	1	572.924188853	573.347370978	188.925	371.336	0.4232	182.410	-89.22	Moan
46	Spectrogram 1	1	657.449848189	657.986845988	186.170	358.306	0.5370	172.136	-93.13	Moan
47	Spectrogram 1	1	693.244541710	693.842563293	218.241	412.234	0.5980	193.993	-95.12	Moan
48	Spectrogram 1	1	639.378400589	639.849833031	201.954	358.306	0.4714	156.352	-94.37	Moan
49	Spectrogram 1	1	1025.463232469	1026.121912375	184.375	468.750	0.6587	284.375	-98.45	Moan
50	Spectrogram 1	1	1016.790748288	1017.231395770	195.440	345.277	0.4406	149.837	-97.09	Moan
