Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	11.772278018	12.283693543	119.681	405.585	0.5114	285.904	-87.33	G rupe
2	Spectrogram 1	1	20.667843531	21.220354947	132.979	265.957	0.5525	132.978	-85.10	G rupe
3	Spectrogram 1	1	22.562820700	23.069670015	139.628	246.011	0.5068	106.383	-88.90	G rupe
4	Spectrogram 1	1	27.705337462	28.002141115	146.277	279.255	0.2968	132.978	-86.72	G rupe
5	Spectrogram 1	1	36.005577820	36.663112067	146.277	265.957	0.6575	119.680	-82.74	G rupe
6	Spectrogram 1	1	38.594618916	39.137997911	119.681	272.606	0.5434	152.925	-85.49	G rupe
7	Spectrogram 1	1	53.219649839	53.831521985	132.979	438.830	0.6119	305.851	-90.31	G rupe
8	Spectrogram 1	1	55.607774847	56.301838774	126.330	385.638	0.6941	259.308	-88.74	G rupe
9	Spectrogram 1	1	62.896035113	63.457678949	119.681	425.532	0.5616	305.851	-88.66	G rupe
10	Spectrogram 1	1	63.740783972	64.211103607	119.681	272.606	0.4703	152.925	-85.71	G rupe
11	Spectrogram 1	1	68.833074595	69.335357700	113.032	246.011	0.5023	132.979	-88.80	G rupe
12	Spectrogram 1	1	71.931057420	72.437906735	119.681	239.362	0.5068	119.681	-89.19	G rupe
13	Spectrogram 1	1	82.497858143	83.073200609	126.330	438.830	0.5753	312.500	-86.08	G rupe
14	Spectrogram 1	1	84.648543074	85.201054490	126.330	405.585	0.5525	279.255	-88.61	G rupe
15	Spectrogram 1	1	85.995570899	86.566347155	139.628	472.074	0.5708	332.446	-88.83	G rupe
16	Spectrogram 1	1	107.251705978	107.767687713	119.681	425.532	0.5160	305.851	-90.34	G rupe
17	Spectrogram 1	1	110.650685214	111.139269689	152.926	272.606	0.4886	119.680	-81.15	G rupe
18	Spectrogram 1	1	112.623287954	113.111872429	132.979	299.202	0.4886	166.223	-83.59	G rupe
19	Spectrogram 1	1	116.295860705	116.852938331	99.734	232.713	0.5571	132.979	-87.95	G rupe
20	Spectrogram 1	1	127.672969678	128.202650043	126.330	458.777	0.5297	332.447	-89.62	G rupe
21	Spectrogram 1	1	132.802163433	133.304446538	113.032	465.426	0.5023	352.394	-86.34	G rupe
22	Spectrogram 1	1	141.807699408	142.341945983	113.032	458.777	0.5342	345.745	-86.27	G rupe
23	Spectrogram 1	1	151.415596021	151.940710176	126.330	405.585	0.5251	279.255	-89.03	G rupe
24	Spectrogram 1	1	156.743235111	157.304878946	132.979	445.479	0.5616	312.500	-89.53	G rupe
25	Spectrogram 1	1	173.238307117	173.758855062	99.734	385.638	0.5205	285.904	-89.60	G rupe
26	Spectrogram 1	1	183.964916213	184.508295208	99.734	425.532	0.5434	325.798	-89.05	G rupe
27	Spectrogram 1	1	195.314645881	195.858024876	99.734	465.426	0.5434	365.692	-89.44	G rupe
28	Spectrogram 1	1	205.561802922	206.086917077	99.734	265.957	0.5251	166.223	-82.40	G rupe
29	Spectrogram 1	1	212.122318472	212.702227148	113.032	292.553	0.5799	179.521	-79.64	G rupe
30	Spectrogram 1	1	227.576294840	228.087710365	139.628	279.255	0.5114	139.627	-83.41	G rupe
31	Spectrogram 1	1	229.203963666	229.765607502	126.330	432.181	0.5616	305.851	-89.86	G rupe
32	Spectrogram 1	1	233.107315080	233.650694075	119.681	432.181	0.5434	312.500	-87.52	G rupe
