Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	4.136987257	4.657535203	173.956	286.792	0.5205	112.836	-82.85	G rupe
2	Spectrogram 1	1	3.789955294	4.264841139	371.419	451.345	0.4749	79.926	-92.16	G rupe
3	Spectrogram 1	1	14.840187898	15.406397943	136.660	445.248	0.5662	308.588	-88.96	G rupe
4	Spectrogram 1	1	24.543802420	25.082615206	167.519	392.347	0.5388	224.828	-86.10	G rupe
5	Spectrogram 1	1	35.989219612	36.573694498	119.027	436.431	0.5845	317.405	-80.18	G rupe
6	Spectrogram 1	1	50.758011865	51.342486751	317.405	409.981	0.5845	92.576	-89.04	G rupe
7	Spectrogram 1	1	104.175213804	104.732291430	163.111	414.389	0.5571	251.279	-87.38	G rupe
8	Spectrogram 1	1	110.050689608	110.626032074	158.702	255.687	0.5753	96.985	-91.26	G rupe
9	Spectrogram 1	1	135.995903333	136.726496940	136.660	432.023	0.7306	295.363	-81.49	G rupe
10	Spectrogram 1	1	139.750983818	140.572901626	127.843	260.095	0.8219	132.252	-85.58	G rupe
11	Spectrogram 1	1	158.229203470	158.758883835	145.477	268.912	0.5297	123.435	-84.76	G rupe
12	Spectrogram 1	1	171.921200512	172.569602339	141.069	427.614	0.6484	286.546	-79.81	G rupe
13	Spectrogram 1	1	169.510241608	170.076451654	141.069	246.870	0.5662	105.802	-89.18	G rupe
14	Spectrogram 1	1	177.878850066	178.426795272	163.111	387.939	0.5479	224.828	-89.02	G rupe
15	Spectrogram 1	1	195.023745401	195.553425766	158.702	432.023	0.5297	273.321	-89.69	G rupe
16	Spectrogram 1	1	200.758905218	201.306850423	149.885	440.840	0.5479	290.954	-89.49	G rupe
17	Spectrogram 1	1	219.398182869	220.019187436	136.660	405.572	0.6210	268.912	-90.85	G rupe
18	Spectrogram 1	1	226.777178303	227.370785609	119.027	484.924	0.5936	365.897	-81.25	G rupe
19	Spectrogram 1	1	244.448401395	244.914154819	154.294	229.237	0.4658	74.943	-88.86	G rupe
20	Spectrogram 1	1	247.261186783	247.918721029	132.252	449.656	0.6575	317.405	-89.84	G rupe
21	Spectrogram 1	1	262.828659629	263.349207574	145.477	260.095	0.5205	114.618	-85.29	G rupe
22	Spectrogram 1	1	264.445097985	264.983910770	119.027	617.175	0.5388	498.149	-81.40	G rupe
23	Spectrogram 1	1	269.284450273	269.905454839	176.336	246.870	0.6210	70.534	-89.93	G rupe
24	Spectrogram 1	1	271.220523333	271.604084976	123.435	383.530	0.3836	260.095	-90.57	G rupe
