Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	9.897694117	10.482169003	152.926	465.426	0.5845	312.500	-92.75	G rupe
2	Spectrogram 1	1	12.723715399	13.253395765	132.979	518.617	0.5297	385.638	-92.28	G rupe
3	Spectrogram 1	1	26.437838448	27.049710594	132.979	465.426	0.6119	332.447	-91.62	G rupe
4	Spectrogram 1	1	29.590112099	30.092395204	119.681	265.957	0.5023	146.277	-88.88	G rupe
5	Spectrogram 1	1	40.080949664	40.788712221	132.979	485.372	0.7078	352.394	-94.67	G rupe
6	Spectrogram 1	1	43.689846564	44.169298619	339.096	465.426	0.4795	126.330	-99.99	G rupe
7	Spectrogram 1	1	55.372469440	56.157857568	113.032	704.787	0.7854	591.755	-90.72	G rupe
8	Spectrogram 1	1	56.933648856	57.431365751	119.681	445.479	0.4977	325.798	-95.21	G rupe
9	Spectrogram 1	1	60.962632592	61.387290126	113.032	325.798	0.4247	212.766	-89.21	G rupe
10	Spectrogram 1	1	75.267846509	75.856887605	139.628	618.351	0.5890	478.723	-85.88	G rupe
11	Spectrogram 1	1	75.861453815	76.226750619	119.681	458.777	0.3653	339.096	-88.12	G rupe
12	Spectrogram 1	1	77.984281555	78.582455071	139.628	432.181	0.5982	292.553	-89.00	G rupe
13	Spectrogram 1	1	86.507547010	86.580606371	126.330	472.074	0.0731	345.745	-90.27	G rupe
14	Spectrogram 1	1	86.064624636	86.178779887	172.872	458.777	0.1142	285.904	-93.84	G rupe
15	Spectrogram 1	1	96.055698827	96.658438553	113.032	252.660	0.6027	139.628	-87.44	G rupe
16	Spectrogram 1	1	97.297707959	97.813689694	126.330	744.681	0.5160	618.351	-88.97	G rupe
17	Spectrogram 1	1	99.607745895	100.114595210	99.734	458.777	0.5068	359.043	-93.81	G rupe
18	Spectrogram 1	1	114.588295385	115.163637851	119.681	777.926	0.5753	658.245	-89.90	G rupe
19	Spectrogram 1	1	139.859696226	140.485267002	113.032	864.362	0.6256	751.330	-89.84	G rupe
20	Spectrogram 1	1	155.949843318	156.680436925	86.436	445.479	0.7306	359.043	-85.53	G rupe
21	Spectrogram 1	1	160.704849473	161.371516140	106.383	837.766	0.6667	731.383	-89.86	G rupe
22	Spectrogram 1	1	174.603679674	175.101396569	132.979	246.011	0.4977	113.032	-87.03	G rupe
23	Spectrogram 1	1	176.608245884	177.142492459	126.330	398.936	0.5342	272.606	-90.04	G rupe
24	Spectrogram 1	1	177.886784697	178.594547254	119.681	472.074	0.7078	352.394	-86.72	G rupe
25	Spectrogram 1	1	188.854090093	189.465962239	119.681	511.968	0.6119	392.287	-86.37	G rupe
26	Spectrogram 1	1	192.992676337	193.641078163	119.681	418.883	0.6484	299.202	-90.94	G rupe
27	Spectrogram 1	1	198.738095119	199.340834845	119.681	465.426	0.6027	345.745	-92.92	G rupe
28	Spectrogram 1	1	212.401993223	212.977335689	99.734	897.606	0.5753	797.872	-91.06	G rupe
29	Spectrogram 1	1	229.332295542	229.852843487	106.383	631.649	0.5205	525.266	-86.80	G rupe
30	Spectrogram 1	1	249.328160654	249.839576179	106.383	551.862	0.5114	445.479	-88.46	G rupe
31	Spectrogram 1	1	304.634174372	305.163854737	79.787	571.809	0.5297	492.021	-84.55	G rupe
32	Spectrogram 1	1	306.305407249	306.766594463	106.383	452.128	0.4612	345.745	-90.68	G rupe
33	Spectrogram 1	1	324.881145126	325.365163391	99.734	565.160	0.4840	465.426	-86.99	G rupe
34	Spectrogram 1	1	324.134815460	324.596002674	113.032	425.532	0.4612	312.500	-89.39	G rupe
35	Spectrogram 1	1	329.766078991	330.368818717	79.787	432.181	0.6027	352.394	-82.14	G rupe
36	Spectrogram 1	1	347.417860452	347.929275977	99.734	671.543	0.5114	571.809	-85.34	G rupe
37	Spectrogram 1	1	351.971498412	352.656429919	119.681	458.777	0.6849	339.096	-86.09	G rupe
38	Spectrogram 1	1	368.287909112	368.858685367	132.979	472.074	0.5708	339.096	-85.74	G rupe
39	Spectrogram 1	1	390.721639035	391.278716661	119.681	817.819	0.5571	698.138	-88.87	G rupe
40	Spectrogram 1	1	415.437982630	416.036156146	113.032	498.670	0.5982	385.638	-85.30	G rupe
41	Spectrogram 1	1	442.619696028	443.674490548	106.383	445.479	1.0548	339.096	-88.51	G rupe
42	Spectrogram 1	1	461.056374753	461.614578435	126.330	392.287	0.5582	265.957	-90.04	G rupe
43	Spectrogram 1	1	468.084898069	468.605446015	126.330	551.862	0.5205	425.532	-87.50	G rupe
44	Spectrogram 1	1	478.790347506	479.315461661	139.628	432.181	0.5251	292.553	-91.01	G rupe
45	Spectrogram 1	1	494.860182863	495.362465968	139.628	711.436	0.5023	571.809	-90.34	G rupe
46	Spectrogram 1	1	515.842313434	516.449619370	126.330	664.894	0.6073	538.564	-86.19	G rupe
47	Spectrogram 1	1	534.123776440	534.653456805	113.032	405.585	0.5297	292.553	-84.80	G rupe
48	Spectrogram 1	1	553.688344468	554.163230313	126.330	465.426	0.4749	339.096	-78.07	G rupe
49	Spectrogram 1	1	569.991056537	570.438545121	119.681	452.128	0.4475	332.447	-88.89	G rupe
50	Spectrogram 1	1	574.772969089	575.334612925	146.277	285.904	0.5616	139.628	-82.54	G rupe
51	Spectrogram 1	1	588.263351212	588.327278152	132.979	265.957	0.0639	132.979	-83.61	G rupe
52	Spectrogram 1	1	593.824084163	594.381161789	119.681	505.319	0.5571	385.638	-85.23	G rupe
53	Spectrogram 1	1	610.514504555	611.071582181	119.681	438.830	0.5571	319.149	-84.57	G rupe
54	Spectrogram 1	1	621.140290992	621.633441677	132.979	545.213	0.4932	412.234	-86.74	G rupe
55	Spectrogram 1	1	636.363196419	636.902009205	139.628	452.128	0.5388	312.500	-86.42	G rupe
56	Spectrogram 1	1	645.712972825	646.178726250	126.330	472.074	0.4658	345.745	-82.30	G rupe
57	Spectrogram 1	1	663.483056216	663.925978591	146.277	259.309	0.4429	113.032	-87.24	G rupe
58	Spectrogram 1	1	671.264585147	671.789699303	139.628	452.128	0.5251	312.500	-84.67	G rupe
59	Spectrogram 1	1	684.113624524	684.529149639	146.277	412.234	0.4155	265.957	-89.75	G rupe
60	Spectrogram 1	1	694.079767465	694.627712671	119.681	784.574	0.5479	664.894	-87.57	G rupe
61	Spectrogram 1	1	719.679427027	720.254769493	113.032	472.074	0.5753	359.043	-84.18	G rupe
62	Spectrogram 1	1	744.299952031	744.829632397	126.330	458.777	0.5297	332.447	-87.27	G rupe
63	Spectrogram 1	1	766.971124878	767.505371453	132.979	425.532	0.5342	292.553	-90.57	G rupe
64	Spectrogram 1	1	787.905100478	788.494141574	132.979	438.830	0.5890	305.851	-90.05	G rupe
65	Spectrogram 1	1	805.132224405	805.657338560	132.979	458.777	0.5251	325.798	-84.70	G rupe
66	Spectrogram 1	1	821.457767524	821.960050629	146.277	472.074	0.5023	325.798	-84.95	G rupe
67	Spectrogram 1	1	883.835456321	884.228150385	132.979	438.830	0.3927	305.851	-90.20	G rupe
68	Spectrogram 1	1	902.372663000	902.897777155	132.979	259.309	0.5251	126.330	-87.45	G rupe
69	Spectrogram 1	1	903.171749758	903.642069393	146.277	232.713	0.4703	86.436	-88.49	G rupe
70	Spectrogram 1	1	920.674883716	921.204564082	139.628	472.074	0.5297	332.447	-85.15	G rupe
71	Spectrogram 1	1	923.621635272	924.137617007	126.330	565.160	0.5160	438.830	-85.48	G rupe
72	Spectrogram 1	1	939.609350669	940.161862085	113.032	452.128	0.5525	339.096	-85.06	G rupe
73	Spectrogram 1	1	942.070046531	942.595160686	152.926	279.255	0.5251	126.330	-81.92	G rupe
74	Spectrogram 1	1	948.205630596	948.703347491	352.394	445.479	0.4977	93.085	-95.74	G rupe
75	Spectrogram 1	1	962.403811187	963.088742693	113.032	485.372	0.6849	372.340	-85.74	G rupe
76	Spectrogram 1	1	965.042589240	965.156744492	345.745	485.372	0.1142	139.628	-93.51	G rupe
77	Spectrogram 1	1	977.131600321	977.761737307	119.681	425.532	0.6301	305.851	-85.11	G rupe
78	Spectrogram 1	1	987.832411727	988.407754192	126.330	518.617	0.5753	392.287	-89.64	G rupe
79	Spectrogram 1	1	993.885875832	994.520579028	113.032	412.234	0.6347	299.202	-87.73	G rupe
80	Spectrogram 1	1	997.159844849	997.707790054	119.681	425.532	0.5479	305.851	-89.93	G rupe
81	Spectrogram 1	1	995.940666766	996.360758091	113.032	272.606	0.4201	159.574	-90.64	G rupe
82	Spectrogram 1	1	1018.428703444	1018.889890659	319.149	478.723	0.4612	159.574	-99.01	G rupe
83	Spectrogram 1	1	1040.511326547	1041.086669013	139.628	704.787	0.5753	565.160	-89.89	G rupe
84	Spectrogram 1	1	1065.788894446	1066.368803122	139.628	551.862	0.5799	412.234	-86.08	G rupe
85	Spectrogram 1	1	1070.324687097	1070.959390294	139.628	638.298	0.6347	498.670	-88.63	G rupe
86	Spectrogram 1	1	1096.166427613	1096.686975558	126.330	405.585	0.5205	279.255	-88.85	G rupe
87	Spectrogram 1	1	1096.801130809	1097.371907065	159.574	498.670	0.5708	339.096	-88.70	G rupe
88	Spectrogram 1	1	1108.570087655	1109.108900441	126.330	511.968	0.5388	385.638	-85.13	G rupe
89	Spectrogram 1	1	1115.071459876	1115.450455310	139.628	412.234	0.3790	272.606	-88.62	G rupe
90	Spectrogram 1	1	1129.917479120	1130.506520215	126.330	631.649	0.5890	505.319	-89.38	G rupe
91	Spectrogram 1	1	1152.460869906	1153.100139312	139.628	671.543	0.6393	531.915	-88.11	G rupe
92	Spectrogram 1	1	1178.567378783	1179.206648189	132.979	445.479	0.6393	312.500	-87.80	G rupe
