Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	943.860185074	944.042833476	53.191	457.377	0.1826	404.186	-89.76	Rupe B
2	Spectrogram 1	1	945.494888271	945.613609732	106.383	383.607	0.1187	277.224	-90.56	Rupe A
3	Spectrogram 1	1	945.914979595	946.152422517	66.489	372.340	0.2374	305.851	-90.30	Rupe B
4	Spectrogram 1	1	946.627308362	946.910413385	93.085	372.340	0.2831	279.255	-89.19	Rupe B
5	Spectrogram 1	1	948.161554937	948.380733019	106.383	359.043	0.2192	252.660	-93.76	Rupe B
6	Spectrogram 1	1	950.252879138	950.490322061	106.383	359.043	0.2374	252.660	-90.91	Rupe B
7	Spectrogram 1	1	953.714062366	954.362464192	79.787	412.234	0.6484	332.447	-91.20	Rupe B
8	Spectrogram 1	1	954.627303647	954.709495428	93.085	292.553	0.0822	199.468	-90.90	Rupe A
9	Spectrogram 1	1	955.321367574	955.540545656	106.383	359.043	0.2192	252.660	-92.52	Rupe B
10	Spectrogram 1	1	956.052651631	956.237004149	98.361	413.115	0.1844	314.754	-93.15	Rupe A
11	Spectrogram 1	1	956.846481729	957.138719172	93.085	345.745	0.2922	252.660	-90.49	Rupe B
12	Spectrogram 1	1	959.175247616	959.440087799	59.840	272.606	0.2648	212.766	-88.51	Rupe B
13	Spectrogram 1	1	959.677530721	959.777987342	68.852	285.904	0.1005	217.052	-84.05	Rupe A
14	Spectrogram 1	1	961.303101497	961.540544420	73.138	285.904	0.2374	212.766	-92.99	Rupe A
15	Spectrogram 1	1	962.143284146	962.262005607	78.689	363.934	0.1187	285.246	-90.16	Rupe A
16	Spectrogram 1	1	971.943129580	972.318704516	79.787	368.852	0.3756	289.065	-88.70	Rupe A
17	Spectrogram 1	1	974.069928142	974.391763876	66.489	427.869	0.3218	361.380	-87.60	Rupe A
18	Spectrogram 1	1	976.245643555	976.318702915	76.336	254.453	0.0731	178.117	-90.37	Rupe A
19	Spectrogram 1	1	977.222811850	977.341533311	89.059	298.982	0.1187	209.923	-89.76	Rupe A
20	Spectrogram 1	1	978.044729658	978.163451119	82.697	267.176	0.1187	184.479	-90.59	Rupe A
21	Spectrogram 1	1	980.090391758	980.218245640	69.975	292.621	0.1279	222.646	-90.20	Rupe A
22	Spectrogram 1	1	981.557196397	981.661168014	57.252	279.898	0.1040	222.646	-88.72	Rupe A
23	Spectrogram 1	1	996.172576701	996.336960263	69.975	362.595	0.1644	292.620	-87.64	Rupe A
24	Spectrogram 1	1	1015.018103698	1015.127692739	57.252	279.898	0.1096	222.646	-91.66	Rupe A
25	Spectrogram 1	1	952.097582621	952.209992693	54.098	413.115	0.1124	359.016	-89.35	Rupe A
