Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	1062.340241073	1062.408734224	73.138	711.436	0.0685	638.298	-77.83	Rupe A
2	Spectrogram 1	1	1062.655309566	1062.883620069	45.573	377.604	0.2283	332.031	-84.39	Rupe B
3	Spectrogram 1	1	1064.121062991	1064.326542443	58.594	247.396	0.2055	188.802	-92.54	Rupe B
4	Spectrogram 1	1	1066.175857511	1066.280880343	52.083	592.448	0.1050	540.365	-85.79	Rupe A
5	Spectrogram 1	1	1066.952114579	1067.061703620	52.083	436.198	0.1096	384.115	-86.02	Rupe A
6	Spectrogram 1	1	1069.175859831	1069.294581292	52.083	488.281	0.1187	436.198	-88.21	Rupe A
7	Spectrogram 1	1	1069.655311886	1069.947549329	65.104	475.260	0.2922	410.156	-88.33	Rupe B
8	Spectrogram 1	1	1070.331110973	1070.427001384	58.594	397.135	0.0959	338.541	-86.89	Rupe A
9	Spectrogram 1	1	1070.901887228	1071.111932890	71.615	384.115	0.2100	312.500	-88.80	Rupe B
10	Spectrogram 1	1	1071.431567594	1071.586818735	71.615	364.583	0.1553	292.968	-90.13	Rupe A
11	Spectrogram 1	1	1074.427005872	1074.673581214	58.594	390.625	0.2466	332.031	-88.00	Rupe C
12	Spectrogram 1	1	1076.029746548	1076.152186585	65.104	273.437	0.1224	208.333	-89.73	Rupe A
13	Spectrogram 1	1	1080.517487687	1080.686437458	58.594	260.417	0.1689	201.823	-89.69	Rupe A
14	Spectrogram 1	1	1081.535752527	1081.645341568	52.083	253.906	0.1096	201.823	-90.02	Rupe A
15	Spectrogram 1	1	1094.138737133	1094.367047636	58.594	351.562	0.2283	292.968	-90.22	Rupe B
16	Spectrogram 1	1	1130.568732221	1130.787910303	58.594	377.604	0.2192	319.010	-89.47	Rupe A
17	Spectrogram 1	1	1131.418047289	1131.582430851	71.615	312.500	0.1644	240.885	-89.80	Rupe A
18	Spectrogram 1	1	1132.029919436	1132.176038157	45.573	324.451	0.1461	278.878	-83.82	Rupe A
19	Spectrogram 1	1	1133.299325828	1133.468275600	52.083	366.771	0.1689	314.688	-89.95	Rupe A
20	Spectrogram 1	1	1134.377505750	1134.485419419	71.615	319.749	0.1079	248.134	-90.71	Rupe A
21	Spectrogram 1	1	1135.687458389	1135.774216380	65.104	325.521	0.0868	260.417	-87.40	Rupe A
22	Spectrogram 1	1	1136.095177419	1136.243558714	58.594	451.411	0.1484	392.817	-88.49	Rupe A
23	Spectrogram 1	1	1137.262800855	1137.372389896	65.104	292.969	0.1096	227.865	-89.04	Rupe A
24	Spectrogram 1	1	1138.107549713	1138.203440124	39.062	260.417	0.0959	221.355	-83.23	Rupe A
