Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
5	Spectrogram 1	1	150.544518392	150.634924738	51.717	291.493	0.0904	239.776	-90.60	Rupe A
6	Spectrogram 1	1	151.177362817	151.267769163	51.717	300.897	0.0904	249.180	-89.46	Rupe A
7	Spectrogram 1	1	152.146002243	152.391390898	51.717	433.131	0.2454	381.414	-91.97	Rupe A
8	Spectrogram 1	1	155.265022380	155.574986996	51.717	310.300	0.3100	258.583	-89.56	Rupe A
9	Spectrogram 1	1	156.014103536	156.388644115	56.418	346.505	0.3745	290.087	-91.84	Rupe A
10	Spectrogram 1	1	157.693078542	157.925552004	61.120	319.703	0.2325	258.583	-89.45	Rupe A
11	Spectrogram 1	1	156.717982295	156.872964603	56.418	244.478	0.1550	188.060	-92.93	Rupe A
2	Spectrogram 1	1	8.090463938	8.364436540	66.489	212.766	0.2740	146.277	-91.34	Rupe B
1	Spectrogram 1	1	6.883997960	7.268546130	53.191	292.553	0.3845	239.362	-93.06	Rupe B
3	Spectrogram 1	1	10.017404577	10.419231061	66.489	345.745	0.4018	279.256	-93.62	Rupe B
4	Spectrogram 1	1	11.369002751	11.615578093	79.787	265.957	0.2466	186.170	-92.90	Rupe B
12	Spectrogram 1	1	167.176924416	167.557922591	43.116	420.384	0.3810	377.268	-84.16	Rupe B
