Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	871.984578874	872.045877014	75.224	426.862	0.0613	351.638	-97.26	Rupe A
2	Spectrogram 1	1	872.605082471	872.730808521	42.314	470.151	0.1257	427.837	-84.86	Rupe A
3	Spectrogram 1	1	873.525329069	873.616653270	65.821	493.658	0.0913	427.837	-90.74	Rupe A
4	Spectrogram 1	1	874.776470622	874.904324503	70.523	441.942	0.1279	371.419	-91.90	Rupe A
5	Spectrogram 1	1	876.693356170	876.876004572	47.015	413.733	0.1826	366.718	-90.45	Rupe A
6	Spectrogram 1	1	877.095182654	877.364589047	56.418	460.748	0.2694	404.330	-89.10	Rupe B
7	Spectrogram 1	1	884.521098279	884.664983171	47.009	422.764	0.1439	375.755	-88.91	Rupe A
8	Spectrogram 1	1	887.606950278	887.981379502	65.821	441.942	0.3744	376.121	-86.11	Rupe B
9	Spectrogram 1	1	891.800005265	892.179000699	61.120	451.345	0.3790	390.225	-85.42	Rupe B
10	Spectrogram 1	1	892.539731293	893.119639969	61.120	474.852	0.5799	413.732	-86.58	Rupe B
11	Spectrogram 1	1	893.553429923	893.927859147	51.717	535.972	0.3744	484.255	-86.60	Rupe B
12	Spectrogram 1	1	894.343384261	894.576260973	61.120	526.569	0.2329	465.449	-86.72	Rupe B
13	Spectrogram 1	1	895.302288370	895.768041795	61.120	531.270	0.4658	470.150	-87.00	Rupe B
14	Spectrogram 1	1	962.736346481	963.151871595	56.418	488.957	0.4155	432.539	-86.42	Rupe B
15	Spectrogram 1	1	963.498903558	963.845935522	61.120	460.748	0.3470	399.628	-84.95	Rupe B
16	Spectrogram 1	1	964.453241458	964.613058810	61.120	521.867	0.1598	460.747	-87.95	Rupe A
17	Spectrogram 1	1	965.754611321	966.051414974	56.418	535.972	0.2968	479.554	-85.13	Rupe B
18	Spectrogram 1	1	972.047129340	972.576809705	51.717	460.748	0.5297	409.031	-87.29	Rupe B
19	Spectrogram 1	1	973.209270859	973.775817622	56.418	503.061	0.5665	446.643	-88.96	Rupe C
20	Spectrogram 1	1	979.219405865	979.370090797	61.120	338.509	0.1507	277.389	-89.78	Rupe A
21	Spectrogram 1	1	979.767351071	980.109816824	61.120	413.733	0.3425	352.613	-88.54	Rupe B
22	Spectrogram 1	1	981.799314541	982.013926413	65.821	508.547	0.2146	442.726	-90.27	Rupe A
23	Spectrogram 1	1	986.811773715	987.176303412	56.418	216.269	0.3645	159.851	-92.31	Growl B
24	Spectrogram 1	1	998.455311542	998.801534564	56.418	178.657	0.3462	122.239	-88.23	Growl B
25	Spectrogram 1	1	1120.870469014	1120.943528375	51.717	394.927	0.0731	343.210	-93.64	Rupe A
26	Spectrogram 1	1	1131.585286285	1131.792120817	61.120	470.151	0.2068	409.031	-90.06	Rupe A
27	Spectrogram 1	1	1150.020157652	1150.093217013	47.015	460.748	0.0731	413.733	-94.94	Rupe A
28	Spectrogram 1	1	1150.321527515	1150.412851716	65.821	362.016	0.0913	296.195	-92.84	Rupe A
29	Spectrogram 1	1	884.961745761	885.231529934	65.041	682.927	0.2698	617.886	-87.88	Rupe A
