Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	156.150347899	156.227973470	59.840	359.043	0.0776	299.203	-92.19	Rupe A
2	Spectrogram 1	1	157.506512282	157.606968903	56.516	365.691	0.1005	309.175	-89.62	Rupe A
3	Spectrogram 1	1	158.081854748	158.196009999	57.745	370.245	0.1142	312.500	-89.95	Rupe A
4	Spectrogram 1	1	158.821580776	158.922037397	54.348	339.674	0.1005	285.326	-88.60	Rupe A
5	Spectrogram 1	1	159.460850182	159.561306803	50.951	315.897	0.1005	264.946	-89.55	Rupe A
6	Spectrogram 1	1	160.759273366	160.850597567	44.158	322.690	0.0913	278.532	-83.62	Rupe A
7	Spectrogram 1	1	162.704486550	162.804943171	50.951	295.516	0.1005	244.565	-91.39	Rupe A
8	Spectrogram 1	1	165.165681469	165.234174619	50.951	343.071	0.0685	292.120	-91.33	Rupe A
9	Spectrogram 1	1	166.658836627	166.745594618	54.348	288.723	0.0868	234.375	-93.85	Rupe A
10	Spectrogram 1	1	167.499019275	167.590343476	50.951	244.565	0.0913	193.614	-93.08	Rupe A
11	Spectrogram 1	1	168.010434801	168.147421102	54.348	275.136	0.1370	220.788	-94.64	Rupe A
12	Spectrogram 1	1	168.441826785	168.677101467	64.538	506.114	0.2353	441.576	-87.50	Rupe A
13	Spectrogram 1	1	169.339207143	169.448796184	56.604	244.565	0.1096	187.961	-94.79	Rupe A
14	Spectrogram 1	1	170.138299617	170.229623818	59.748	173.234	0.0913	113.486	-93.41	Rupe A
15	Spectrogram 1	1	171.151998247	171.229623818	59.748	163.043	0.0776	103.295	-92.55	Rupe A
16	Spectrogram 1	1	171.873459434	172.257021078	64.538	288.723	0.3836	224.185	-94.92	Rupe B
17	Spectrogram 1	1	172.608626956	172.713649787	61.141	247.962	0.1050	186.821	-93.26	Rupe A
18	Spectrogram 1	1	173.010453440	173.174837002	47.554	292.120	0.1644	244.566	-90.29	Rupe A
19	Spectrogram 1	1	173.535567595	173.677120107	54.348	281.929	0.1416	227.581	-91.00	Rupe A
20	Spectrogram 1	1	174.576593072	174.722782207	56.604	309.103	0.1462	252.499	-90.64	Rupe A
21	Spectrogram 1	1	175.969363634	176.055909619	54.348	298.913	0.0865	244.565	-90.56	Rupe A
22	Spectrogram 1	1	176.294218971	176.370657820	50.951	271.739	0.0764	220.788	-91.16	Rupe A
23	Spectrogram 1	1	177.147445826	177.270733498	53.459	285.326	0.1233	231.867	-89.82	Rupe A
24	Spectrogram 1	1	177.800413863	177.948885621	50.951	386.792	0.1485	335.841	-91.75	Rupe A
25	Spectrogram 1	1	178.220510526	178.614353246	78.616	267.296	0.3938	188.679	-93.20	Rupe C
26	Spectrogram 1	1	179.494483129	179.613204590	57.745	268.342	0.1187	210.597	-90.49	Rupe A
27	Spectrogram 1	1	180.019597284	180.161115836	57.745	336.277	0.1415	278.532	-93.15	Rupe A
28	Spectrogram 1	1	184.955712443	185.023158487	59.748	261.549	0.0674	201.801	-89.84	Rupe A
29	Spectrogram 1	1	186.400364436	186.493473788	62.893	285.326	0.0931	222.433	-92.49	Rupe A
30	Spectrogram 1	1	186.651505989	186.806757130	54.348	275.136	0.1553	220.788	-92.99	Rupe A
31	Spectrogram 1	1	187.244371815	187.352285484	57.745	315.897	0.1079	258.152	-92.51	Rupe A
32	Spectrogram 1	1	187.729131559	187.861551651	61.141	298.913	0.1324	237.772	-91.49	Rupe A
33	Spectrogram 1	1	188.413436563	188.512357426	59.748	271.739	0.0989	211.991	-91.98	Rupe A
34	Spectrogram 1	1	189.258760304	189.372967176	57.745	281.929	0.1142	224.184	-94.82	Rupe A
35	Spectrogram 1	1	189.770227450	189.852419231	66.038	258.152	0.0822	192.114	-94.50	Rupe A
36	Spectrogram 1	1	191.599960630	191.691284831	57.745	264.946	0.0913	207.201	-94.44	Rupe A
37	Spectrogram 1	1	193.166170676	193.243796247	62.893	285.326	0.0776	222.433	-95.52	Rupe A
38	Spectrogram 1	1	195.991791947	196.083116147	54.348	261.549	0.0913	207.201	-93.02	Rupe A
39	Spectrogram 1	1	197.069417517	197.160741718	50.951	275.136	0.0913	224.185	-95.22	Rupe A
40	Spectrogram 1	1	198.173245414	198.247499709	57.745	295.516	0.0743	237.771	-93.02	Rupe A
41	Spectrogram 1	1	199.064858947	199.119653468	57.745	264.946	0.0548	207.201	-92.95	Rupe A
42	Spectrogram 1	1	199.722393194	199.950703696	57.745	339.674	0.2283	281.929	-93.33	Rupe C
43	Spectrogram 1	1	201.032895477	201.389059861	50.951	512.908	0.3562	461.957	-86.43	Rupe B
44	Spectrogram 1	1	353.760197733	353.833257093	67.935	336.277	0.0731	268.342	-91.61	Rupe A
45	Spectrogram 1	1	438.636445943	438.876919317	57.745	400.815	0.2405	343.070	-90.06	Rupe A
46	Spectrogram 1	1	441.412701650	441.671230443	54.348	421.196	0.2585	366.848	-87.67	Type 4 A
47	Spectrogram 1	1	448.924441142	449.075126074	54.348	207.201	0.1507	152.853	-91.07	Rupe A
48	Spectrogram 1	1	471.340146906	471.472566997	64.538	285.326	0.1324	220.788	-93.72	Rupe A
49	Spectrogram 1	1	472.212293024	472.399507636	54.348	343.071	0.1872	288.723	-91.88	Rupe A
50	Spectrogram 1	1	475.597472757	475.816650839	57.745	326.087	0.2192	268.342	-94.65	Rupe A
51	Spectrogram 1	1	490.699030058	490.883382576	54.348	346.467	0.1844	292.119	-92.30	Rupe A
52	Spectrogram 1	1	640.424358570	640.501984141	64.538	370.245	0.0776	305.707	-92.29	Rupe A
