Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	109.680389971	109.926965314	79.787	279.255	0.2466	199.468	-99.97	Rupe A
2	Spectrogram 1	1	292.648495563	292.765402038	79.787	282.675	0.1169	202.888	-96.00	Rupe A
3	Spectrogram 1	1	294.298675419	294.379610671	66.489	345.745	0.0809	279.256	-92.12	Rupe A
4	Spectrogram 1	1	295.620051196	295.720228588	66.489	398.936	0.1002	332.447	-93.45	Rupe A
5	Spectrogram 1	1	296.304982703	296.534077509	53.191	385.638	0.2291	332.447	-92.80	Rupe A
6	Spectrogram 1	1	297.001703408	297.159077509	66.869	465.426	0.1574	398.557	-94.01	Rupe A
7	Spectrogram 1	1	297.373475853	297.478322113	53.191	518.617	0.1048	465.426	-93.13	Rupe A
8	Spectrogram 1	1	297.775302337	297.995403059	66.869	412.234	0.2201	345.365	-94.02	Rupe C
9	Spectrogram 1	1	298.396306904	298.578955305	66.869	412.234	0.1826	345.365	-92.54	Rupe A
10	Spectrogram 1	1	299.222921045	299.373468146	59.809	454.545	0.1505	394.736	-94.44	Rupe A
11	Spectrogram 1	1	301.665705589	301.757029790	66.869	299.043	0.0913	232.174	-95.77	Rupe A
12	Spectrogram 1	1	303.422555135	303.537851708	66.869	239.234	0.1153	172.365	-93.62	Rupe A
13	Spectrogram 1	1	304.119497581	304.186249713	63.830	143.541	0.0668	79.711	-93.35	Rupe A
14	Spectrogram 1	1	304.654569524	304.743327339	71.770	394.737	0.0888	322.967	-95.40	Rupe A
15	Spectrogram 1	1	305.023274560	305.190815923	59.809	406.699	0.1675	346.890	-93.39	Rupe A
16	Spectrogram 1	1	305.585325934	305.859606510	71.770	418.660	0.2743	346.890	-95.82	Rupe A
17	Spectrogram 1	1	306.204514554	306.273275574	69.909	406.699	0.0688	336.790	-90.05	Rupe A
18	Spectrogram 1	1	308.251693883	308.678852156	47.847	547.112	0.4272	499.265	-84.68	Rupe B
19	Spectrogram 1	1	309.326334170	309.695039206	60.790	534.954	0.3687	474.164	-84.50	Rupe B
20	Spectrogram 1	1	311.178852156	311.286765825	71.770	370.813	0.1079	299.043	-92.75	Rupe A
21	Spectrogram 1	1	311.747890303	312.078132732	47.847	574.163	0.3302	526.316	-86.84	Rupe B
22	Spectrogram 1	1	312.401873739	312.532269422	59.809	478.469	0.1304	418.660	-96.60	Rupe A
23	Spectrogram 1	1	313.017296695	313.318666558	59.809	466.507	0.3014	406.698	-97.13	Rupe A
24	Spectrogram 1	1	313.674830942	313.875744184	83.732	406.699	0.2009	322.967	-98.25	Rupe A
