Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	190.885233481	191.126846316	53.191	398.188	0.2416	344.997	-88.86	Rupe C
2	Spectrogram 1	1	192.998987881	193.122275552	73.138	461.616	0.1233	388.478	-89.63	Rupe A
3	Spectrogram 1	1	193.533234456	193.638257287	73.138	246.011	0.1050	172.873	-87.75	Rupe A
4	Spectrogram 1	1	200.002505852	200.290177085	66.489	339.096	0.2877	272.607	-85.12	Rupe B
5	Spectrogram 1	1	200.975108592	201.303875715	79.787	352.394	0.3288	272.607	-88.48	Rupe B
6	Spectrogram 1	1	202.224127185	202.550451058	66.489	352.394	0.3263	285.905	-86.14	Rupe B
7	Spectrogram 1	1	206.013428639	206.192432696	53.191	331.236	0.1790	278.045	-90.58	Rupe B
8	Spectrogram 1	1	218.827081969	218.941237220	74.000	285.904	0.1142	211.904	-86.87	Rupe A
9	Spectrogram 1	1	223.796224712	223.856926151	59.840	362.950	0.0607	303.110	-90.67	Rupe A
10	Spectrogram 1	1	224.169426151	224.234702012	77.523	438.830	0.0653	361.307	-89.16	Rupe A
11	Spectrogram 1	1	224.599998816	224.741551327	73.138	312.500	0.1416	239.362	-91.07	Rupe A
12	Spectrogram 1	1	224.996858725	225.055311963	66.952	272.606	0.0585	205.654	-87.82	Rupe A
13	Spectrogram 1	1	225.805478268	225.901368679	73.138	265.957	0.0959	192.819	-93.21	Rupe A
14	Spectrogram 1	1	227.152504159	227.444741602	53.191	365.691	0.2922	312.500	-88.39	Rupe B
15	Spectrogram 1	1	289.659163818	289.800716329	53.191	385.638	0.1416	332.447	-91.88	Rupe A
16	Spectrogram 1	1	217.870220746	217.912936573	59.904	359.426	0.0427	299.522	-86.06	Rupe A
