Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	119.854123262	119.931259486	66.489	372.340	0.0771	305.851	-92.59	Rupe A
2	Spectrogram 1	1	120.137228285	120.232518478	56.047	420.561	0.0953	364.514	-91.53	Rupe A
3	Spectrogram 1	1	120.685173490	120.849557052	62.305	407.080	0.1644	344.775	-92.39	Rupe A
4	Spectrogram 1	1	121.205721436	121.392590421	62.305	467.290	0.1869	404.985	-92.07	Rupe A
5	Spectrogram 1	1	123.249604809	123.452296778	62.305	420.561	0.2027	358.256	-93.58	Rupe A
6	Spectrogram 1	1	125.571013697	125.693463683	77.882	389.408	0.1224	311.526	-94.34	Rupe A
7	Spectrogram 1	1	125.846341380	126.021701093	73.746	436.137	0.1754	362.391	-90.23	Rupe A
8	Spectrogram 1	1	128.566446712	128.725218076	62.305	436.137	0.1588	373.832	-95.29	Rupe A
9	Spectrogram 1	1	129.488821141	129.862808004	62.305	545.171	0.3740	482.866	-91.22	Rupe B
10	Spectrogram 1	1	130.856513040	131.135290019	77.882	560.748	0.2788	482.866	-91.28	Rupe B
11	Spectrogram 1	1	132.133491457	132.439246853	62.305	529.595	0.3058	467.290	-92.22	Rupe B
12	Spectrogram 1	1	133.853111901	134.307248591	62.305	467.290	0.4541	404.985	-91.37	Rupe B
13	Spectrogram 1	1	134.743399671	135.026673052	67.847	498.442	0.2833	430.595	-92.88	Rupe B
14	Spectrogram 1	1	206.945243952	207.347070436	77.882	482.866	0.4018	404.984	-97.41	Rupe B
15	Spectrogram 1	1	209.009170892	209.210084134	77.882	295.950	0.2009	218.068	-97.81	Rupe A
16	Spectrogram 1	1	412.333867106	412.572176459	120.805	3111.111	0.2383	2990.306	-94.84	Trrot
17	Spectrogram 1	1	413.496187250	413.707518185	249.221	3317.757	0.2113	3068.536	-100.32	Unidentified
18	Spectrogram 1	1	419.439457716	419.682263471	120.805	805.369	0.2428	684.564	-93.12	Trrot
19	Spectrogram 1	1	425.149831284	425.267577426	268.456	1168.224	0.1177	899.768	-92.25	Trrot
20	Spectrogram 1	1	434.097998000	434.288522293	345.133	1386.293	0.1905	1041.160	-92.53	Trrot
21	Spectrogram 1	1	486.578515874	486.806826377	77.882	420.561	0.2283	342.679	-99.24	Rupe A
22	Spectrogram 1	1	547.428758300	547.647936383	77.882	420.561	0.2192	342.679	-98.85	Rupe B
23	Spectrogram 1	1	552.658171405	552.822554967	62.305	404.984	0.1644	342.679	-99.09	Rupe B
24	Spectrogram 1	1	553.973239898	554.292874601	77.882	342.679	0.3196	264.797	-99.25	Rupe B
25	Spectrogram 1	1	556.064564099	556.183285560	93.458	342.679	0.1187	249.221	-100.44	Rupe A
26	Spectrogram 1	1	677.887835547	677.997424588	77.882	451.713	0.1096	373.831	-95.95	Rupe A
27	Spectrogram 1	1	679.916920498	680.061351528	64.897	342.679	0.1444	277.782	-91.03	Rupe A
28	Spectrogram 1	1	680.490575273	680.737150615	67.847	383.481	0.2466	315.634	-90.54	Rupe A
29	Spectrogram 1	1	853.639813469	853.762054033	77.882	358.255	0.1222	280.373	-95.05	Rupe A
30	Spectrogram 1	1	854.629633941	854.840316080	61.947	545.171	0.2107	483.224	-89.96	Rupe A
31	Spectrogram 1	1	855.420352051	855.523769318	62.305	482.866	0.1034	420.561	-93.15	Rupe A
32	Spectrogram 1	1	855.753085864	856.145615676	62.305	514.019	0.3925	451.714	-87.92	Rupe B
33	Spectrogram 1	1	856.652366440	857.236898814	64.897	545.171	0.5845	480.274	-90.68	Rupe B
34	Spectrogram 1	1	858.537985342	858.884208364	64.897	404.984	0.3462	340.087	-89.75	Rupe B
35	Spectrogram 1	1	859.572158004	859.814963760	62.305	404.984	0.2428	342.679	-91.40	Rupe B
36	Spectrogram 1	1	885.752938324	885.944719146	93.458	685.358	0.1918	591.900	-98.79	??
37	Spectrogram 1	1	1098.185852942	1099.126492211	77.882	264.798	0.9406	186.916	-93.38	?
38	Spectrogram 1	1	1100.825122348	1101.692702257	93.458	1105.919	0.8676	1012.461	-100.67	?
39	Spectrogram 1	1	1099.546583536	1099.665304997	311.111	7749.979	0.1187	7438.868	-98.32	??
