Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	13.433864864	13.703649037	53.191	324.361	0.2698	271.170	-79.66	Rupe B
2	Spectrogram 1	1	26.072555253	26.283886188	53.191	376.259	0.2113	323.068	-84.94	Rupe B
3	Spectrogram 1	1	53.382769186	53.528887907	66.489	478.723	0.1461	412.234	-89.26	Rupe A
4	Spectrogram 1	1	65.997665355	66.110075427	59.347	415.430	0.1124	356.083	-86.86	Rupe A
5	Spectrogram 1	1	81.003161373	81.266116762	59.347	376.259	0.2630	316.912	-82.32	Rupe B
6	Spectrogram 1	1	86.568315707	86.874071102	59.347	400.006	0.3058	340.659	-83.07	Rupe B
7	Spectrogram 1	1	97.068628421	97.333468604	59.347	498.471	0.2648	439.124	-85.93	Rupe A
8	Spectrogram 1	1	97.899553556	98.048987093	74.184	356.083	0.1494	281.899	-86.57	Rupe A
9	Spectrogram 1	1	105.623018046	105.750195524	71.281	570.247	0.1272	498.966	-88.29	Rupe A
10	Spectrogram 1	1	106.102973655	106.167549617	57.025	498.966	0.0646	441.941	-86.36	Rupe A
11	Spectrogram 1	1	106.716445292	106.768106061	57.025	342.148	0.0517	285.123	-89.75	Rupe A
12	Spectrogram 1	1	107.710915103	107.975676546	61.162	356.405	0.2648	295.243	-87.43	Rupe B
13	Spectrogram 1	1	117.189087212	117.311781539	57.025	431.193	0.1227	374.168	-88.67	Rupe A
14	Spectrogram 1	1	117.938168368	118.035032311	57.025	256.611	0.0969	199.586	-86.48	Rupe A
15	Spectrogram 1	1	118.499944937	118.608045794	71.281	384.917	0.1081	313.636	-88.37	Rupe A
16	Spectrogram 1	1	119.695407316	119.838481980	71.281	370.661	0.1431	299.380	-89.45	Rupe A
17	Spectrogram 1	1	121.986442345	122.332635121	66.529	408.677	0.3462	342.148	-90.32	Rupe B
18	Spectrogram 1	1	122.688726458	122.882672113	61.162	342.148	0.1939	280.986	-88.38	Rupe B
