Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	46.058444646	46.282188939	53.191	492.021	0.2237	438.830	-89.83	Rupe C
2	Spectrogram 1	1	46.784472044	47.104106747	66.489	425.532	0.3196	359.043	-90.23	Rupe C
3	Spectrogram 1	1	49.821004434	50.067579777	66.489	372.340	0.2466	305.851	-91.27	Rupe A
4	Spectrogram 1	1	96.426128853	96.818822917	46.543	398.936	0.3927	352.393	-85.43	Rupe B
5	Spectrogram 1	1	191.717506147	191.922985599	66.489	458.777	0.2055	392.288	-93.27	Rupe A
6	Spectrogram 1	1	195.835426297	196.360540453	53.191	432.181	0.5251	378.990	-90.06	Rupe C
7	Spectrogram 1	1	204.093616010	204.207771261	59.840	545.213	0.1142	485.373	-95.07	Rupe A
8	Spectrogram 1	1	309.350024971	309.427650542	66.489	478.723	0.0776	412.234	-93.16	Rupe A
9	Spectrogram 1	1	309.797513556	309.861440497	66.489	405.585	0.0639	339.096	-91.22	Rupe A
10	Spectrogram 1	1	664.935831336	665.068251427	152.926	465.426	0.1324	312.500	-99.03	Rupe A
11	Spectrogram 1	1	665.250899829	665.365055080	126.330	325.798	0.1142	199.468	-98.32	Rupe A
12	Spectrogram 1	1	796.109210439	796.361056690	47.015	319.703	0.2518	272.688	-94.47	Rupe B
13	Spectrogram 1	1	796.909952365	797.194086597	65.821	329.106	0.2841	263.285	-94.07	Rupe B
14	Spectrogram 1	1	890.636554176	890.707587734	56.418	347.912	0.0710	291.494	-95.25	Rupe A
15	Spectrogram 1	1	903.162783353	903.337138450	75.224	460.748	0.1744	385.524	-94.80	Rupe A
16	Spectrogram 1	1	903.950610087	904.305777876	56.418	423.136	0.3552	366.718	-90.79	Rupe B
17	Spectrogram 1	1	904.609284896	904.725521628	47.015	319.703	0.1162	272.688	-92.91	Rupe A
18	Spectrogram 1	1	904.938622301	905.255044514	65.821	376.121	0.3164	310.300	-92.13	Rupe B
19	Spectrogram 1	1	1030.496989895	1030.723005761	65.821	385.524	0.2260	319.703	-90.95	Rupe A
20	Spectrogram 1	1	1034.390522360	1034.455098322	65.821	319.703	0.0646	253.882	-95.26	Rupe A
21	Spectrogram 1	1	1034.713402169	1034.803808515	56.418	364.583	0.0904	308.165	-95.03	Rupe A
22	Spectrogram 1	1	1035.101767176	1035.232162859	75.224	304.487	0.1304	229.263	-96.15	Rupe A
23	Spectrogram 1	1	1057.170074505	1057.241108063	65.821	404.330	0.0710	338.509	-91.74	Rupe A
24	Spectrogram 1	1	1058.435764289	1058.616576982	65.821	385.524	0.1808	319.703	-92.88	Rupe C
25	Spectrogram 1	1	1059.188511453	1059.377360374	65.821	470.151	0.1888	404.330	-94.55	Rupe C
26	Spectrogram 1	1	1059.759571505	1059.998502564	84.627	554.778	0.2389	470.151	-94.69	Rupe C
27	Spectrogram 1	1	1060.373043142	1060.566771027	47.015	451.345	0.1937	404.330	-96.07	Rupe C
28	Spectrogram 1	1	1068.482362092	1068.546938054	65.821	432.539	0.0646	366.718	-94.28	Rupe A
29	Spectrogram 1	1	1069.121664113	1069.270188825	84.627	413.733	0.1485	329.106	-97.32	Rupe A
30	Spectrogram 1	1	1069.825542097	1070.038642770	56.418	404.330	0.2131	347.912	-95.95	Rupe C
31	Spectrogram 1	1	1085.760670709	1085.838161863	47.015	300.897	0.0775	253.882	-93.53	Rupe A
32	Spectrogram 1	1	1094.109161242	1094.180194800	84.627	347.912	0.0710	263.285	-96.80	Rupe A
33	Spectrogram 1	1	1097.053825098	1097.163604233	56.418	413.733	0.1098	357.315	-95.51	Rupe A
34	Spectrogram 1	1	1098.087037823	1098.177444169	65.821	338.509	0.0904	272.688	-94.33	Rupe A
35	Spectrogram 1	1	1099.630403308	1099.707894463	47.015	329.106	0.0775	282.091	-93.38	Rupe A
36	Spectrogram 1	1	1100.631330716	1100.708821870	47.015	366.718	0.0775	319.703	-92.64	Rupe A
37	Spectrogram 1	1	1102.620271777	1102.678390142	47.015	329.106	0.0581	282.091	-93.54	Rupe A
38	Spectrogram 1	1	1107.380785170	1107.438903536	56.418	300.897	0.0581	244.479	-93.89	Rupe A
39	Spectrogram 1	1	1105.934283627	1105.992401992	84.627	357.315	0.0581	272.688	-95.17	Rupe A
40	Spectrogram 1	1	1105.753470934	1105.798674107	84.627	385.524	0.0452	300.897	-96.44	Rupe A
41	Spectrogram 1	1	1119.206750823	1119.303614766	47.015	460.748	0.0969	413.733	-93.83	Rupe A
42	Spectrogram 1	1	1120.743658713	1120.827607463	52.083	488.957	0.0839	436.874	-93.36	Rupe A
43	Spectrogram 1	1	1121.350672753	1121.408791119	52.083	394.927	0.0581	342.844	-93.42	Rupe A
44	Spectrogram 1	1	1122.448464962	1122.571159290	48.077	396.635	0.1227	348.558	-93.78	Rupe C
45	Spectrogram 1	1	1123.991830448	1124.043491218	47.015	376.121	0.0517	329.106	-93.84	Rupe A
46	Spectrogram 1	1	1126.607156899	1126.684648053	56.418	423.136	0.0775	366.718	-94.22	Rupe A
47	Spectrogram 1	1	1161.535579076	1161.871374077	56.418	508.814	0.3358	452.396	-92.02	Rupe C
48	Spectrogram 1	1	47.798014634	47.887942692	58.608	351.648	0.0899	293.040	-92.77	Rupe A
